Denominación;Sigla;Fuente;Página;Observación;Date;Year;Month
Editorial El Perro y la Rana;El Perro y La Rana;@MemoriaMPPC2014;211;;06/02/2006;2006;02
Centro Nacional de Historia;CNH;@MemoriaMPPC2014;453;;17/10/2007;2007;10
Universidad Nacional Experimental de las Artes;UNEARTE;@Unearte2008;;;06/05/2008;2008;05
Alba Ciudad;Alba Ciudad;@Alba2008;;;01/01/2008;2008;01
Correo del Orinoco;C. Orinoco;@Correo2009;;;30/08/2009;2009;08
Complejo Editorial Alfredo Maneiro;CEAM;@Ceam2013;;;16/05/2013;2013;05
Movimiento Teatral César Rengifo;Mov. C. Rengifo;@CesarR2013;;;30/10/2013;2013;10
Corazón Llanero;C. Llanero;@CorazonLlaneroo2016;;;02/08/2016;2016;08
Corazón Urbano;C.Urbano;@CorazonUrbano;;;10/04/2017;2017;04
Corazón Salsero;C. Salsero;@CorazonSalsero2017;;;08/02/2017;2017;02
Poliedro de Caracas;Poliedro;@Poliedro1974;;;26/03/1974;1974;03
