Denominación;milestone;Date;Fuente;Página;Observación
Liberarías del Sur;Librerías del Sur;30/12/1982;@MemoriaMPPC2014;230;
Compañía Nacional de Teatro;CNT;22/05/1984;@MemoriaMPPC2014;74;
Casa del Artista;Casa del Artista;25/03/1987;@MemoriaMPPC2014;110;
Compañía Nacional de Música;CNM;27/07/1987;@MemoriaMPPC2014;187;
Centro de la Diversidad Cultural;CDC;13/09/1990;@MemoriaMPPC2014;141;
Instituto del Patrimonio Cultural;IPC;03/09/1993;@MemoriaMPPC2014;343;
Centro Nacional Autonomo de Cinematografia;CENAC;08/09/1993;@MemoriaMPPC2014;38;
Centro Nacional de Fotografía;CENAF;20/12/2001;@MemoriaMPPC2014;161;
Centro Nacional del Libro;CENAL;21/04/1967;@MemoriaMPPC2014;50;
Museos Nacionales;Museos Nac.;12/04/2005;@MemoriaMPPC2014;258;
Red de Arte;Red de Arte;08/05/2006;@MemoriaMPPC2014;281;
Instituto de las Artes de la Imagen y el Espacio ;IARTES;08/07/2005;@MemoriaMPPC2014;328;
Instituto de las Artes Escenicas y Musicales;IAEM;08/07/2006;@MemoriaMPPC2014;336;
Ministerio del Poder Popular para la Cultura;MPPC;14/10/2008;@MemoriaMPPC2014;3;
Ministerio de Cultura;M. Cultura;09/02/2005;@MemoriaMPPC2014;3;
Fundación Imprenta de la Cultura;FIC;18/12/2006;@MemoriaMPPC2014;221;
Fundación Villa del Cine;Villa del Cine;06/02/2006;@VillaCine2006;;
Fundación Distribuidora Venezolana de la Cultura;FDVC;06/02/2006;@MemoriaMPPC2014;199;
Centro Nacional del Disco;CENDIS;18/12/2006;@MemoriaMPPC2014;170;
Compañía Nacional de Danza;CND;06/02/2006;@MemoriaMPPC2014;179;
Amazonia Films;Amazonia Films;06/02/2006;@Amazonia2006;;
Editorial El Perro y la Rana;El Perro y La Rana;06/02/2006;@MemoriaMPPC2014;211;
Centro Nacional de Historia;CNH;17/10/2007;@MemoriaMPPC2014;453;
Universidad Nacional Experimental de las Artes;UNEARTE;06/05/2008;@Unearte2008;;
Alba Ciudad;Alba Ciudad;01/01/2008;@Alba2008;;
Correo del Orinoco;C. Orinoco;30/08/2009;@Correo2009;;
Complejo Editorial Alfredo Maneiro;CEAM;16/05/2013;@Ceam2013;;
Movimiento Teatral César Rengifo;Mov. C. Rengifo;30/10/2013;@CesarR2013;;
Corazón Llanero;C. Llanero;02/08/2016;@CorazonLlaneroo2016;;
Corazón Urbano;C.Urbano;10/04/2017;@CorazonUrbano;;
Corazón Salsero;C. Salsero;08/02/2017;@CorazonSalsero2017;;
Poliedro de Caracas;Poliedro;26/03/1974;@Poliedro1974;;
